Web Search Interest: node.js; vert.x; twisted python; eventmachine
Worldwide; 2004 - present

Interest over time
Week,node.js,vert.x,twisted python,eventmachine
2006-02-12 - 2006-02-18,0,0,12,0
2006-02-19 - 2006-02-25,0,0,10,0
2006-02-26 - 2006-03-04,0,0,12,0
2006-03-05 - 2006-03-11,0,0,12,0
2006-03-12 - 2006-03-18,0,0,8,0
2006-03-19 - 2006-03-25,0,0,14,0
2006-03-26 - 2006-04-01,0,0,9,0
2006-04-02 - 2006-04-08,0,0,8,0
2006-04-09 - 2006-04-15,0,0,9,0
2006-04-16 - 2006-04-22,0,0,13,0
2006-04-23 - 2006-04-29,0,0,14,0
2006-04-30 - 2006-05-06,0,0,12,0
2006-05-07 - 2006-05-13,0,0,12,0
2006-05-14 - 2006-05-20,0,0,6,0
2006-05-21 - 2006-05-27,0,0,11,0
2006-05-28 - 2006-06-03,0,0,9,0
2006-06-04 - 2006-06-10,0,0,14,0
2006-06-11 - 2006-06-17,0,0,15,0
2006-06-18 - 2006-06-24,0,0,10,0
2006-06-25 - 2006-07-01,0,0,14,0
2006-07-02 - 2006-07-08,0,0,16,0
2006-07-09 - 2006-07-15,0,0,12,0
2006-07-16 - 2006-07-22,0,0,13,0
2006-07-23 - 2006-07-29,0,0,12,0
2006-07-30 - 2006-08-05,0,0,13,0
2006-08-06 - 2006-08-12,0,0,15,0
2006-08-13 - 2006-08-19,0,0,16,0
2006-08-20 - 2006-08-26,0,0,13,0
2006-08-27 - 2006-09-02,0,0,12,0
2006-09-03 - 2006-09-09,0,0,13,0
2006-09-10 - 2006-09-16,0,0,8,0
2006-09-17 - 2006-09-23,0,0,12,0
2006-09-24 - 2006-09-30,0,0,10,0
2006-10-01 - 2006-10-07,0,0,9,0
2006-10-08 - 2006-10-14,0,0,11,0
2006-10-15 - 2006-10-21,0,0,13,0
2006-10-22 - 2006-10-28,0,0,11,0
2006-10-29 - 2006-11-04,0,0,15,0
2006-11-05 - 2006-11-11,0,0,15,0
2006-11-12 - 2006-11-18,0,0,8,0
2006-11-19 - 2006-11-25,0,0,14,0
2006-11-26 - 2006-12-02,0,0,10,0
2006-12-03 - 2006-12-09,0,0,10,0
2006-12-10 - 2006-12-16,0,0,10,0
2006-12-17 - 2006-12-23,0,0,12,0
2006-12-24 - 2006-12-30,0,0,9,0
2006-12-31 - 2007-01-06,0,0,7,0
2007-01-07 - 2007-01-13,0,0,9,0
2007-01-14 - 2007-01-20,0,0,7,0
2007-01-21 - 2007-01-27,0,0,9,0
2007-01-28 - 2007-02-03,0,0,9,0
2007-02-04 - 2007-02-10,0,0,9,0
2007-02-11 - 2007-02-17,0,0,11,0
2007-02-18 - 2007-02-24,0,0,13,0
2007-02-25 - 2007-03-03,0,0,9,0
2007-03-04 - 2007-03-10,0,0,11,0
2007-03-11 - 2007-03-17,0,0,11,0
2007-03-18 - 2007-03-24,0,0,12,0
2007-03-25 - 2007-03-31,0,0,10,0
2007-04-01 - 2007-04-07,0,0,11,0
2007-04-08 - 2007-04-14,0,0,8,0
2007-04-15 - 2007-04-21,0,0,9,0
2007-04-22 - 2007-04-28,0,0,9,0
2007-04-29 - 2007-05-05,0,0,8,0
2007-05-06 - 2007-05-12,0,0,12,0
2007-05-13 - 2007-05-19,0,0,10,0
2007-05-20 - 2007-05-26,0,0,9,0
2007-05-27 - 2007-06-02,0,0,14,0
2007-06-03 - 2007-06-09,0,0,9,0
2007-06-10 - 2007-06-16,0,0,12,0
2007-06-17 - 2007-06-23,0,0,11,0
2007-06-24 - 2007-06-30,0,0,11,0
2007-07-01 - 2007-07-07,0,0,8,0
2007-07-08 - 2007-07-14,0,0,12,0
2007-07-15 - 2007-07-21,0,0,11,0
2007-07-22 - 2007-07-28,0,0,10,0
2007-07-29 - 2007-08-04,0,0,11,0
2007-08-05 - 2007-08-11,0,0,10,0
2007-08-12 - 2007-08-18,0,0,13,0
2007-08-19 - 2007-08-25,0,0,8,0
2007-08-26 - 2007-09-01,0,0,9,0
2007-09-02 - 2007-09-08,0,0,9,0
2007-09-09 - 2007-09-15,0,0,7,0
2007-09-16 - 2007-09-22,0,0,9,0
2007-09-23 - 2007-09-29,0,0,8,0
2007-09-30 - 2007-10-06,0,0,6,0
2007-10-07 - 2007-10-13,0,0,7,0
2007-10-14 - 2007-10-20,0,0,7,0
2007-10-21 - 2007-10-27,0,0,12,0
2007-10-28 - 2007-11-03,0,0,10,0
2007-11-04 - 2007-11-10,0,0,9,0
2007-11-11 - 2007-11-17,0,0,10,0
2007-11-18 - 2007-11-24,0,0,9,0
2007-11-25 - 2007-12-01,0,0,7,0
2007-12-02 - 2007-12-08,0,0,11,0
2007-12-09 - 2007-12-15,0,0,12,0
2007-12-16 - 2007-12-22,0,0,7,0
2007-12-23 - 2007-12-29,0,0,7,0
2007-12-30 - 2008-01-05,0,0,9,0
2008-01-06 - 2008-01-12,0,0,9,0
2008-01-13 - 2008-01-19,0,0,8,0
2008-01-20 - 2008-01-26,0,0,7,0
2008-01-27 - 2008-02-02,0,0,8,0
2008-02-03 - 2008-02-09,0,0,10,0
2008-02-10 - 2008-02-16,0,0,5,0
2008-02-17 - 2008-02-23,0,0,5,0
2008-02-24 - 2008-03-01,0,0,7,0
2008-03-02 - 2008-03-08,0,0,7,0
2008-03-09 - 2008-03-15,0,0,10,0
2008-03-16 - 2008-03-22,0,0,12,0
2008-03-23 - 2008-03-29,0,0,10,0
2008-03-30 - 2008-04-05,0,0,7,0
2008-04-06 - 2008-04-12,0,0,10,0
2008-04-13 - 2008-04-19,0,0,9,0
2008-04-20 - 2008-04-26,0,0,8,0
2008-04-27 - 2008-05-03,0,0,7,0
2008-05-04 - 2008-05-10,0,0,11,0
2008-05-11 - 2008-05-17,0,0,8,0
2008-05-18 - 2008-05-24,0,0,9,0
2008-05-25 - 2008-05-31,0,0,9,0
2008-06-01 - 2008-06-07,0,0,8,0
2008-06-08 - 2008-06-14,0,0,6,0
2008-06-15 - 2008-06-21,0,0,7,0
2008-06-22 - 2008-06-28,0,0,8,0
2008-06-29 - 2008-07-05,0,0,8,2
2008-07-06 - 2008-07-12,0,0,10,0
2008-07-13 - 2008-07-19,0,0,9,0
2008-07-20 - 2008-07-26,0,0,9,0
2008-07-27 - 2008-08-02,0,0,9,0
2008-08-03 - 2008-08-09,0,0,8,0
2008-08-10 - 2008-08-16,0,0,8,0
2008-08-17 - 2008-08-23,0,0,8,0
2008-08-24 - 2008-08-30,0,0,6,0
2008-08-31 - 2008-09-06,0,0,8,0
2008-09-07 - 2008-09-13,0,0,7,0
2008-09-14 - 2008-09-20,0,0,8,0
2008-09-21 - 2008-09-27,0,0,7,0
2008-09-28 - 2008-10-04,0,0,7,0
2008-10-05 - 2008-10-11,0,0,7,0
2008-10-12 - 2008-10-18,0,0,9,0
2008-10-19 - 2008-10-25,0,0,6,0
2008-10-26 - 2008-11-01,0,0,8,0
2008-11-02 - 2008-11-08,0,0,7,0
2008-11-09 - 2008-11-15,0,0,11,2
2008-11-16 - 2008-11-22,0,0,7,0
2008-11-23 - 2008-11-29,0,0,9,0
2008-11-30 - 2008-12-06,0,0,7,0
2008-12-07 - 2008-12-13,0,0,7,0
2008-12-14 - 2008-12-20,0,0,7,0
2008-12-21 - 2008-12-27,0,0,6,0
2008-12-28 - 2009-01-03,0,0,5,0
2009-01-04 - 2009-01-10,0,0,8,0
2009-01-11 - 2009-01-17,0,0,5,0
2009-01-18 - 2009-01-24,0,0,5,0
2009-01-25 - 2009-01-31,0,0,9,0
2009-02-01 - 2009-02-07,0,0,8,0
2009-02-08 - 2009-02-14,0,0,8,2
2009-02-15 - 2009-02-21,0,0,10,2
2009-02-22 - 2009-02-28,0,0,8,2
2009-03-01 - 2009-03-07,0,0,5,0
2009-03-08 - 2009-03-14,0,0,8,0
2009-03-15 - 2009-03-21,0,0,10,0
2009-03-22 - 2009-03-28,0,0,8,0
2009-03-29 - 2009-04-04,0,0,9,0
2009-04-05 - 2009-04-11,0,0,7,0
2009-04-12 - 2009-04-18,0,0,7,3
2009-04-19 - 2009-04-25,0,0,8,2
2009-04-26 - 2009-05-02,0,0,9,2
2009-05-03 - 2009-05-09,0,0,6,2
2009-05-10 - 2009-05-16,0,0,8,2
2009-05-17 - 2009-05-23,0,0,6,2
2009-05-24 - 2009-05-30,0,0,8,2
2009-05-31 - 2009-06-06,0,0,7,2
2009-06-07 - 2009-06-13,0,0,6,2
2009-06-14 - 2009-06-20,0,0,7,2
2009-06-21 - 2009-06-27,0,0,6,2
2009-06-28 - 2009-07-04,0,0,8,2
2009-07-05 - 2009-07-11,0,0,9,2
2009-07-12 - 2009-07-18,0,0,7,2
2009-07-19 - 2009-07-25,0,0,8,2
2009-07-26 - 2009-08-01,0,0,8,2
2009-08-02 - 2009-08-08,0,0,8,2
2009-08-09 - 2009-08-15,0,0,9,2
2009-08-16 - 2009-08-22,0,0,8,2
2009-08-23 - 2009-08-29,0,0,7,2
2009-08-30 - 2009-09-05,0,0,6,2
2009-09-06 - 2009-09-12,0,0,7,2
2009-09-13 - 2009-09-19,0,0,7,3
2009-09-20 - 2009-09-26,0,0,7,1
2009-09-27 - 2009-10-03,0,0,8,1
2009-10-04 - 2009-10-10,0,0,8,1
2009-10-11 - 2009-10-17,0,0,7,1
2009-10-18 - 2009-10-24,0,0,9,1
2009-10-25 - 2009-10-31,0,0,6,1
2009-11-01 - 2009-11-07,0,0,8,1
2009-11-08 - 2009-11-14,2,0,7,2
2009-11-15 - 2009-11-21,3,0,5,2
2009-11-22 - 2009-11-28,8,0,7,2
2009-11-29 - 2009-12-05,6,0,7,2
2009-12-06 - 2009-12-12,4,0,7,2
2009-12-13 - 2009-12-19,5,0,9,2
2009-12-20 - 2009-12-26,3,0,8,2
2009-12-27 - 2010-01-02,3,0,6,1
2010-01-03 - 2010-01-09,3,0,7,1
2010-01-10 - 2010-01-16,6,0,5,2
2010-01-17 - 2010-01-23,5,0,5,1
2010-01-24 - 2010-01-30,5,0,7,3
2010-01-31 - 2010-02-06,8,0,8,1
2010-02-07 - 2010-02-13,5,0,6,1
2010-02-14 - 2010-02-20,7,0,6,2
2010-02-21 - 2010-02-27,7,0,7,2
2010-02-28 - 2010-03-06,8,0,7,2
2010-03-07 - 2010-03-13,7,0,6,2
2010-03-14 - 2010-03-20,8,0,5,3
2010-03-21 - 2010-03-27,8,0,6,3
2010-03-28 - 2010-04-03,7,0,7,2
2010-04-04 - 2010-04-10,6,0,6,2
2010-04-11 - 2010-04-17,6,0,7,2
2010-04-18 - 2010-04-24,7,0,6,2
2010-04-25 - 2010-05-01,14,0,6,2
2010-05-02 - 2010-05-08,12,0,6,2
2010-05-09 - 2010-05-15,14,0,6,2
2010-05-16 - 2010-05-22,15,0,5,3
2010-05-23 - 2010-05-29,15,0,7,3
2010-05-30 - 2010-06-05,14,0,6,2
2010-06-06 - 2010-06-12,15,0,5,2
2010-06-13 - 2010-06-19,13,0,4,2
2010-06-20 - 2010-06-26,16,0,8,2
2010-06-27 - 2010-07-03,14,0,5,2
2010-07-04 - 2010-07-10,14,0,6,2
2010-07-11 - 2010-07-17,14,0,5,2
2010-07-18 - 2010-07-24,17,0,7,1
2010-07-25 - 2010-07-31,21,0,6,2
2010-08-01 - 2010-08-07,19,0,9,2
2010-08-08 - 2010-08-14,24,0,6,2
2010-08-15 - 2010-08-21,20,0,5,3
2010-08-22 - 2010-08-28,22,0,7,2
2010-08-29 - 2010-09-04,38,0,6,2
2010-09-05 - 2010-09-11,30,0,5,3
2010-09-12 - 2010-09-18,27,0,7,3
2010-09-19 - 2010-09-25,29,0,6,2
2010-09-26 - 2010-10-02,29,0,5,3
2010-10-03 - 2010-10-09,30,0,4,2
2010-10-10 - 2010-10-16,30,0,6,2
2010-10-17 - 2010-10-23,32,0,7,2
2010-10-24 - 2010-10-30,37,0,6,2
2010-10-31 - 2010-11-06,26,0,7,2
2010-11-07 - 2010-11-13,35,0,6,3
2010-11-14 - 2010-11-20,33,0,6,2
2010-11-21 - 2010-11-27,28,0,6,2
2010-11-28 - 2010-12-04,35,0,5,3
2010-12-05 - 2010-12-11,33,0,6,2
2010-12-12 - 2010-12-18,34,0,5,3
2010-12-19 - 2010-12-25,29,0,6,3
2010-12-26 - 2011-01-01,31,0,4,2
2011-01-02 - 2011-01-08,35,0,5,1
2011-01-09 - 2011-01-15,34,0,7,3
2011-01-16 - 2011-01-22,39,0,5,2
2011-01-23 - 2011-01-29,41,0,6,3
2011-01-30 - 2011-02-05,35,0,5,3
2011-02-06 - 2011-02-12,39,0,5,3
2011-02-13 - 2011-02-19,39,0,5,2
2011-02-20 - 2011-02-26,41,0,7,2
2011-02-27 - 2011-03-05,55,0,7,2
2011-03-06 - 2011-03-12,55,0,5,3
2011-03-13 - 2011-03-19,42,0,8,3
2011-03-20 - 2011-03-26,49,0,7,3
2011-03-27 - 2011-04-02,43,0,7,3
2011-04-03 - 2011-04-09,48,0,7,3
2011-04-10 - 2011-04-16,61,0,6,2
2011-04-17 - 2011-04-23,62,0,6,3
2011-04-24 - 2011-04-30,59,0,6,2
2011-05-01 - 2011-05-07,58,0,7,3
2011-05-08 - 2011-05-14,56,0,5,3
2011-05-15 - 2011-05-21,59,0,6,3
2011-05-22 - 2011-05-28,56,0,5,2
2011-05-29 - 2011-06-04,59,0,6,2
2011-06-05 - 2011-06-11,60,0,6,3
2011-06-12 - 2011-06-18,60,0,6,3
2011-06-19 - 2011-06-25,79,0,6,3
2011-06-26 - 2011-07-02,76,0,6,3
2011-07-03 - 2011-07-09,64,0,5,4
2011-07-10 - 2011-07-16,68,0,5,3
2011-07-17 - 2011-07-23,69,0,6,3
2011-07-24 - 2011-07-30,70,0,6,3
2011-07-31 - 2011-08-06,67,0,5,2
2011-08-07 - 2011-08-13,67,0,4,2
2011-08-14 - 2011-08-20,72,0,6,3
2011-08-21 - 2011-08-27,73,0,7,3
2011-08-28 - 2011-09-03,80,0,6,2
2011-09-04 - 2011-09-10,78,0,5,3
2011-09-11 - 2011-09-17,79,0,6,4
2011-09-18 - 2011-09-24,72,0,6,3
2011-09-25 - 2011-10-01,74,0,4,3
2011-10-02 - 2011-10-08,78,0,4,3
2011-10-09 - 2011-10-15,66,0,5,3
2011-10-16 - 2011-10-22,60,0,6,3
2011-10-23 - 2011-10-29,65,0,5,2
2011-10-30 - 2011-11-05,74,0,5,3
2011-11-06 - 2011-11-12,77,0,6,3
2011-11-13 - 2011-11-19,73,0,6,3
2011-11-20 - 2011-11-26,69,0,6,3
2011-11-27 - 2011-12-03,72,0,5,4
2011-12-04 - 2011-12-10,73,0,5,3
2011-12-11 - 2011-12-17,81,0,5,4
2011-12-18 - 2011-12-24,69,0,4,3
2011-12-25 - 2011-12-31,57,0,3,3
2012-01-01 - 2012-01-07,64,0,3,3
2012-01-08 - 2012-01-14,71,0,5,2
2012-01-15 - 2012-01-21,70,0,5,4
2012-01-22 - 2012-01-28,90,0,5,3
2012-01-29 - 2012-02-04,91,0,5,3
2012-02-05 - 2012-02-11,91,0,5,2
2012-02-12 - 2012-02-18,86,0,6,3
2012-02-19 - 2012-02-25,91,0,6,3
2012-02-26 - 2012-03-03,89,0,6,2
2012-03-04 - 2012-03-10,81,0,6,2
2012-03-11 - 2012-03-17,84,0,6,4
2012-03-18 - 2012-03-24,84,0,6,2
2012-03-25 - 2012-03-31,79,0,5,3
2012-04-01 - 2012-04-07,86,0,5,3
2012-04-08 - 2012-04-14,87,0,6,3
2012-04-15 - 2012-04-21,89,0,6,2
2012-04-22 - 2012-04-28,94,0,5,3
2012-04-29 - 2012-05-05,91,1,5,3
2012-05-06 - 2012-05-12,89,7,6,2
2012-05-13 - 2012-05-19,87,5,4,3
2012-05-20 - 2012-05-26,86,5,6,3
2012-05-27 - 2012-06-02,81,2,4,3
2012-06-03 - 2012-06-09,84,3,6,3
2012-06-10 - 2012-06-16,78,3,5,2
2012-06-17 - 2012-06-23,83,2,5,3
2012-06-24 - 2012-06-30,94,2,6,3
2012-07-01 - 2012-07-07,84,1,5,3
2012-07-08 - 2012-07-14,92,2,6,2
2012-07-15 - 2012-07-21,89,1,5,3
2012-07-22 - 2012-07-28,82,1,4,4
2012-07-29 - 2012-08-04,84,1,6,2
2012-08-05 - 2012-08-11,87,1,5,3
2012-08-12 - 2012-08-18,87,1,4,2
2012-08-19 - 2012-08-25,89,1,6,3
2012-08-26 - 2012-09-01,94,1,6,3
2012-09-02 - 2012-09-08,89,1,6,3
2012-09-09 - 2012-09-15,93,1,7,3
2012-09-16 - 2012-09-22,86,1,5,3
2012-09-23 - 2012-09-29,89,2,5,3
2012-09-30 - 2012-10-06,95,2,4,2
2012-10-07 - 2012-10-13,97,2,5,3
2012-10-14 - 2012-10-20,100,2,5,2
2012-10-21 - 2012-10-27,97,2,6,3
2012-10-28 - 2012-11-03,87,2,4,2
2012-11-04 - 2012-11-10,96,2,4,2
2012-11-11 - 2012-11-17,92,2,5,2
2012-11-18 - 2012-11-24,91,2,5,2
2012-11-25 - 2012-12-01,91,2,5,2
2012-12-02 - 2012-12-08,92,1,5,2
2012-12-09 - 2012-12-15,92,2,5,2
2012-12-16 - 2012-12-22,90,2,5,2
2012-12-23 - 2012-12-29,79,1,4,2
2012-12-30 - 2013-01-05,86,2,4,2
2013-01-06 - 2013-01-12,93,7,4,2
2013-01-13 - 2013-01-19,99,6,4,2
2013-01-20 - 2013-01-26, , , , 
2013-01-27 - 2013-02-02, , , , 


Top regions for node.js
Region,node.js,vert.x,twisted python,eventmachine
South Korea,100,0,0,0
Iran,50,0,0,0
Russia,42,0,100,0
Hong Kong,41,0,0,0
Taiwan,38,0,0,0
Ukraine,33,0,0,0
Serbia,33,0,0,0
Japan,32,0,21,0
India,31,0,31,0
United States,30,100,57,100
Norway,29,0,0,0
Sweden,28,0,73,0
Czech Republic,27,0,0,0
Finland,27,0,0,0
Singapore,26,0,0,0
Israel,26,0,0,0
China,25,0,88,0
South Africa,24,0,0,0
New Zealand,22,0,0,0
Ireland,22,0,0,0
Canada,21,0,46,0
Switzerland,20,0,0,0
Australia,20,0,45,0
Denmark,19,0,0,0
Germany,19,0,36,0
United Kingdom,17,0,36,0
Austria,17,0,0,0
Netherlands,16,0,39,0
Portugal,15,0,0,0
Romania,14,0,0,0
Philippines,13,0,0,0
Belgium,13,0,0,0
Hungary,11,0,0,0
France,10,0,27,0
Poland,10,0,0,0
Argentina,10,0,0,0
Spain,10,0,0,0
Indonesia,8,0,0,0
Italy,8,0,26,0
Brazil,7,0,0,0
Thailand,7,0,0,0
Vietnam,7,0,0,0
Mexico,7,0,0,0
Turkey,4,0,0,0

Top regions for vert.x
Region,node.js,vert.x,twisted python,eventmachine
United States,30,100,57,100
Argentina,10,0,0,0
Austria,17,0,0,0
Australia,20,0,45,0
Belgium,13,0,0,0
Brazil,7,0,0,0
Canada,21,0,46,0
Switzerland,20,0,0,0
China,25,0,88,0
Czech Republic,27,0,0,0
Germany,19,0,36,0
Denmark,19,0,0,0
Spain,10,0,0,0
Finland,27,0,0,0
France,10,0,27,0
United Kingdom,17,0,36,0
Hong Kong,41,0,0,0
Hungary,11,0,0,0
Indonesia,8,0,0,0
Ireland,22,0,0,0
Israel,26,0,0,0
India,31,0,31,0
Iran,50,0,0,0
Italy,8,0,26,0
Japan,32,0,21,0
South Korea,100,0,0,0
Mexico,7,0,0,0
Netherlands,16,0,39,0
Norway,29,0,0,0
New Zealand,22,0,0,0
Philippines,13,0,0,0
Poland,10,0,0,0
Portugal,15,0,0,0
Romania,14,0,0,0
Serbia,33,0,0,0
Russia,42,0,100,0
Sweden,28,0,73,0
Singapore,26,0,0,0
Thailand,7,0,0,0
Turkey,4,0,0,0
Taiwan,38,0,0,0
Ukraine,33,0,0,0
Vietnam,7,0,0,0
South Africa,24,0,0,0

Top regions for twisted python
Region,node.js,vert.x,twisted python,eventmachine
Russia,42,0,100,0
China,25,0,88,0
Sweden,28,0,73,0
United States,30,100,57,100
Canada,21,0,46,0
Australia,20,0,45,0
Netherlands,16,0,39,0
United Kingdom,17,0,36,0
Germany,19,0,36,0
India,31,0,31,0
France,10,0,27,0
Italy,8,0,26,0
Japan,32,0,21,0
Argentina,10,0,0,0
Austria,17,0,0,0
Belgium,13,0,0,0
Brazil,7,0,0,0
Switzerland,20,0,0,0
Czech Republic,27,0,0,0
Denmark,19,0,0,0
Spain,10,0,0,0
Finland,27,0,0,0
Hong Kong,41,0,0,0
Hungary,11,0,0,0
Indonesia,8,0,0,0
Ireland,22,0,0,0
Israel,26,0,0,0
Iran,50,0,0,0
South Korea,100,0,0,0
Mexico,7,0,0,0
Norway,29,0,0,0
New Zealand,22,0,0,0
Philippines,13,0,0,0
Poland,10,0,0,0
Portugal,15,0,0,0
Romania,14,0,0,0
Serbia,33,0,0,0
Singapore,26,0,0,0
Thailand,7,0,0,0
Turkey,4,0,0,0
Taiwan,38,0,0,0
Ukraine,33,0,0,0
Vietnam,7,0,0,0
South Africa,24,0,0,0

Top regions for eventmachine
Region,node.js,vert.x,twisted python,eventmachine
United States,30,100,57,100
Argentina,10,0,0,0
Austria,17,0,0,0
Australia,20,0,45,0
Belgium,13,0,0,0
Brazil,7,0,0,0
Canada,21,0,46,0
Switzerland,20,0,0,0
China,25,0,88,0
Czech Republic,27,0,0,0
Germany,19,0,36,0
Denmark,19,0,0,0
Spain,10,0,0,0
Finland,27,0,0,0
France,10,0,27,0
United Kingdom,17,0,36,0
Hong Kong,41,0,0,0
Hungary,11,0,0,0
Indonesia,8,0,0,0
Ireland,22,0,0,0
Israel,26,0,0,0
India,31,0,31,0
Iran,50,0,0,0
Italy,8,0,26,0
Japan,32,0,21,0
South Korea,100,0,0,0
Mexico,7,0,0,0
Netherlands,16,0,39,0
Norway,29,0,0,0
New Zealand,22,0,0,0
Philippines,13,0,0,0
Poland,10,0,0,0
Portugal,15,0,0,0
Romania,14,0,0,0
Serbia,33,0,0,0
Russia,42,0,100,0
Sweden,28,0,73,0
Singapore,26,0,0,0
Thailand,7,0,0,0
Turkey,4,0,0,0
Taiwan,38,0,0,0
Ukraine,33,0,0,0
Vietnam,7,0,0,0
South Africa,24,0,0,0


Top cities for node.js
City,node.js
Seoul (South Korea),100
San Francisco (United States),68
Minato (Japan),61
Bangalore (India),56
Shibuya (Japan),39
Moscow (Russia),38
Seattle (United States),35
Beijing (China),32
New York (United States),28
